PA0024;1.3.3.3
PA0025;1.1.1.25
PA0265;1.2.1.16
PA0265;1.2.1.79
PA0265;1.2.1.20
PA0342;2.1.1.45
PA0350;1.5.1.3
PA0402;2.1.3.2
PA0432;3.3.1.1
PA0546;2.5.1.6
PA0581;2.3.1.15
PA0582;4.1.2.25
PA0582;5.1.99.8
PA0582;1.13.11.81
PA0945;6.3.3.1
PA1010;4.3.3.7
PA1013;6.3.2.6
PA1162;3.5.1.18
PA1609;2.3.1.41
PA1610;4.2.1.59
PA1610;5.3.3.14
PA1681;4.2.3.5
PA1758;2.6.1.85
PA1792;3.6.1.54
PA1959;3.6.1.27
PA2584;2.7.8.5
PA2629;4.3.2.2
PA2876;4.1.1.23
PA2964;4.1.3.38
PA2967;1.1.1.100
PA2969;2.3.1.15
PA2977;1.3.1.98
PA2981;2.7.1.130
PA3108;2.4.2.14
PA3111;6.3.2.12
PA3111;6.3.2.17
PA3134;6.1.1.17
PA3163;2.7.4.25
PA3171;2.1.1.222
PA3171;2.1.1.64
PA3296;3.1.3.1
PA3333;2.3.1.180
PA3527;3.5.2.3
PA3627;4.6.1.12
PA3633;2.7.7.60
PA3643;2.4.1.182
PA3644;2.3.1.129
PA3645;4.2.1.59
PA3646;2.3.1.191
PA3650;1.1.1.267
PA3651;2.7.7.41
PA3654;2.7.4.22
PA3659;2.6.1.17
PA3666;2.3.1.117
PA3686;2.7.4.3
PA3763;6.3.5.3
PA3769;6.3.5.2
PA3770;1.1.1.205
PA3803;1.17.7.1
PA3803;1.17.7.3
PA4003;3.4.16.4
PA4043;2.5.1.1
PA4043;2.5.1.10
PA4043;2.5.1.29
PA4044;2.2.1.7
PA4050;3.1.3.27
PA4406;3.5.1.108
PA4411;6.3.2.8
PA4412;2.4.1.227
PA4414;6.3.2.9
PA4415;2.7.8.13
PA4416;6.3.2.10
PA4417;6.3.2.13
PA4450;2.5.1.7
PA4557;1.17.7.4
PA4569;2.5.1.90
PA4655;4.99.1.1
PA4655;4.99.1.9
PA4662;5.1.1.3
PA4664;2.1.1.297
PA4666;1.2.1.70
PA4669;2.7.1.148
PA4693;2.7.8.8
PA4749;5.4.2.10
PA4750;2.5.1.15
PA4759;1.17.1.8
PA4855;6.3.4.13
PA4957;4.1.1.65
PA5034;4.1.1.37
PA5038;4.2.3.4
PA5039;2.7.1.71
PA5063;2.1.1.163
PA5063;2.1.1.201
PA5243;4.2.1.24
PA5278;5.1.1.7
PA5322;5.4.2.8
PA5322;5.4.2.2
PA5331;2.4.2.10
PA5336;2.7.4.8
PA5357;4.1.3.40
PA5358;2.5.1.39
PA5549;2.6.1.16
PA5552;2.7.7.23
PA5552;2.3.1.157
