,maximum,minimum
EX_cpd00001_e_b,929.717388,0.0
EX_cpd00001_e_f,1000.0,70.282612
EX_cpd00007_e_b,1000.0,46.650803
EX_cpd00007_e_f,953.349197,0.0
EX_cpd00009_e_b,1000.0,0.709184
EX_cpd00009_e_f,999.290816,0.0
EX_cpd00011_e_b,952.167869,0.0
EX_cpd00011_e_f,1000.0,47.832131
EX_cpd00013_e_b,1000.0,8.981259
EX_cpd00013_e_f,991.018741,0.0
EX_cpd00018_e,0.0,0.0
EX_cpd00020_e,3.255663,0.0
EX_cpd00023_e,1.378869,0.0
EX_cpd00024_e,1.446961,0.0
EX_cpd00025_e,-0.0,0.0
EX_cpd00027_e,0.0,0.0
EX_cpd00029_e_b,1000.0,42.045802
EX_cpd00029_e_f,957.954198,0.0
EX_cpd00030_e_b,1000.0,1e-06
EX_cpd00030_e_f,999.999999,0.0
EX_cpd00033_e,2.057361,0.0
EX_cpd00034_e,0.0,0.0
EX_cpd00035_e,2.930097,0.0
EX_cpd00036_e,1.921375,0.0
EX_cpd00039_e,-0.0,0.0
EX_cpd00041_e,2.056208,0.0
EX_cpd00042_e,0.45895,0.0
EX_cpd00046_e,0.0,0.0
EX_cpd00047_e,2.90951,0.0
EX_cpd00048_e_b,1000.0,0.17094
EX_cpd00048_e_f,999.82906,0.0
EX_cpd00051_e,0.607274,0.0
EX_cpd00053_e,1.160434,0.0
EX_cpd00054_e,1.723586,0.0
EX_cpd00055_e,0.0,0.0
EX_cpd00058_e_b,1000.0,0.0
EX_cpd00058_e_f,1000.0,0.0
EX_cpd00059_e,0.0,0.0
EX_cpd00060_e,0.0,0.0
EX_cpd00061_e,-0.0,0.0
EX_cpd00063_e_b,1000.0,1e-06
EX_cpd00063_e_f,999.999999,0.0
EX_cpd00064_e,1.055891,0.0
EX_cpd00065_e,0.223672,0.0
EX_cpd00066_e,0.366644,0.0
EX_cpd00067_e_b,1000.0,16.132668
EX_cpd00067_e_f,983.867332,0.0
EX_cpd00069_e,0.37129,0.0
EX_cpd00073_e,0.913347,0.0
EX_cpd00075_e,0.0,0.0
EX_cpd00079_e,0.0,0.0
EX_cpd00080_e,0.0,0.0
EX_cpd00082_e,0.0,0.0
EX_cpd00084_e,1.412095,0.0
EX_cpd00085_e,0.0,0.0
EX_cpd00089_e,0.0,0.0
EX_cpd00091_e,0.0,0.0
EX_cpd00092_e,1.160434,0.0
EX_cpd00094_e,1.220874,0.0
EX_cpd00095_e,0.0,0.0
EX_cpd00098_e,0.0,0.0
EX_cpd00099_e_b,1000.0,1e-06
EX_cpd00099_e_f,999.999999,0.0
EX_cpd00100_e,0.751307,0.0
EX_cpd00105_e,0.0,0.0
EX_cpd00106_e,2.056208,0.0
EX_cpd00107_e,1.085221,0.0
EX_cpd00111_e,-0.0,0.0
EX_cpd00117_e,2.930097,0.0
EX_cpd00118_e,0.0,0.0
EX_cpd00119_e,0.0,0.0
EX_cpd00122_e,0.0,0.0
EX_cpd00126_e,0.0,0.0
EX_cpd00128_e,0.565909,0.0
EX_cpd00129_e,1.075265,0.0
EX_cpd00130_e,0.0,0.0
EX_cpd00132_e,1.316897,0.0
EX_cpd00135_e,0.819607,0.0
EX_cpd00136_e,0.419084,0.0
EX_cpd00137_e,1.362836,0.0
EX_cpd00138_e,0.0,0.0
EX_cpd00141_e,0.0,0.0
EX_cpd00142_e,1.651171,0.0
EX_cpd00147_e,0.186351,0.0
EX_cpd00149_e_b,1000.0,0.0
EX_cpd00149_e_f,1000.0,0.0
EX_cpd00151_e,0.0,0.0
EX_cpd00152_e,0.610437,0.0
EX_cpd00153_e,0.0,0.0
EX_cpd00154_e,0.0,0.0
EX_cpd00156_e,1.465048,0.0
EX_cpd00157_e,0.0,0.0
EX_cpd00159_e,-0.0,0.0
EX_cpd00161_e,0.300476,0.0
EX_cpd00162_e,0.658449,0.0
EX_cpd00164_e,-0.0,0.0
EX_cpd00165_e,0.0,0.0
EX_cpd00169_e,0.0,0.0
EX_cpd00170_e,0.0,0.0
EX_cpd00182_e,0.0,0.0
EX_cpd00183_e,0.0,0.0
EX_cpd00186_e,1.378869,0.0
EX_cpd00205_e_b,1000.0,0.0
EX_cpd00205_e_f,1000.0,0.0
EX_cpd00207_e,-0.0,0.0
EX_cpd00209_e,0.0,0.0
EX_cpd00210_e,0.0,0.0
EX_cpd00211_e,-0.0,0.0
EX_cpd00213_e,-0.0,0.0
EX_cpd00214_e,0.0,0.0
EX_cpd00218_e,-0.0,0.0
EX_cpd00222_e,0.0,0.0
EX_cpd00226_e,0.616278,0.0
EX_cpd00227_e,1.465048,0.0
EX_cpd00229_e,3.662621,0.0
EX_cpd00235_e,0.0,0.0
EX_cpd00239_e,2.493699,0.0
EX_cpd00244_e,0.0,0.0
EX_cpd00246_e,0.0,0.0
EX_cpd00247_e,0.0,0.0
EX_cpd00248_e,0.505916,0.0
EX_cpd00249_e,0.0,0.0
EX_cpd00254_e_b,1000.0,0.0
EX_cpd00254_e_f,1000.0,0.0
EX_cpd00264_e,0.0,0.0
EX_cpd00266_e,0.0,0.0
EX_cpd00268_e,-0.0,0.0
EX_cpd00274_e,0.741797,0.0
EX_cpd00280_e,0.0,0.0
EX_cpd00281_e,1.183877,0.0
EX_cpd00284_e,0.0,0.0
EX_cpd00285_e,0.0,0.0
EX_cpd00288_e,0.0,0.0
EX_cpd00298_e,0.0,0.0
EX_cpd00300_e,0.643219,0.0
