,maximum,minimum
R930,-0.0,0.0
R931,-0.0,0.0
R94,0.05017,0.05017
R95,-0.0,0.0
R96,0.051129,0.051129
R97,-0.05017,-0.05017
R98,-0.0,0.0
R99,-0.0,0.0
RNA,0.004725,0.004725
SL__1,0.0,0.0
SM_MOL,0.006563,0.006563
TAG,1.396423,1.396423
TDM,0.0,0.0
TMM,0.006498,0.006498
added_biomass_sink,0.131262,0.131262
