PA0005;2.3.1.51
PA0006;3.1.3.82
PA0006;3.1.3.83
PA0025;1.1.1.25
PA0035;4.2.1.20
PA0036;4.2.1.20
PA0280;3.6.3.25
PA0330;5.3.1.6
PA0342;2.1.1.45
PA0350;1.5.1.3
PA0353;4.2.1.9
PA0363;2.7.7.3
PA0393;1.5.1.2
PA0430;1.5.1.20
PA0546;2.5.1.6
PA0555;4.1.2.13
PA0582;4.1.2.25
PA0582;5.1.99.8
PA0582;1.13.11.81
PA0650;2.4.2.18
PA0651;4.1.1.48
PA0654;4.1.1.50
PA0945;6.3.3.1
PA1013;6.3.2.6
PA1162;3.5.1.18
PA1376;2.7.11.5
PA1393;2.7.1.25
PA1609;2.3.1.41
PA1681;4.2.3.5
PA1687;2.5.1.16
PA1758;2.6.1.85
PA1806;1.3.1.9
PA1806;1.3.1.10
PA1843;2.1.1.13
PA1959;3.6.1.27
PA2408;7.2.2.20
PA2629;4.3.2.2
PA2962;2.7.4.9
PA2964;4.1.3.38
PA2967;1.1.1.100
PA2977;1.3.1.98
PA2979;2.7.7.38
PA2981;2.7.1.130
PA3088;2.7.1.23
PA3108;2.4.2.14
PA3111;6.3.2.12
PA3111;6.3.2.17
PA3113;5.3.1.24
PA3118;1.1.1.85
PA3120;4.2.1.33
PA3120;4.2.1.35
PA3121;4.2.1.33
PA3121;4.2.1.35
PA3163;2.7.4.25
PA3166;5.4.99.5
PA3166;4.2.1.51
PA3296;3.1.3.1
PA3337;5.1.3.20
PA3418;1.4.1.9
PA3636;2.5.1.55
PA3637;6.3.4.2
PA3643;2.4.1.182
PA3644;2.3.1.129
PA3646;2.3.1.191
PA3651;2.7.7.41
PA3654;2.7.4.22
PA3659;2.6.1.17
PA3666;2.3.1.117
PA3673;2.3.1.15
PA3736;1.1.1.3
PA3763;6.3.5.3
PA3807;2.7.4.6
PA4006;2.7.7.18
PA4053;2.5.1.78
PA4054;4.1.99.12
PA4054;3.5.4.25
PA4055;2.5.1.9
PA4056;3.5.4.26
PA4056;1.1.1.193
PA4201;6.3.2.4
PA4397;1.1.1.169
PA4406;3.5.1.108
PA4410;6.3.2.4
PA4411;6.3.2.8
PA4412;2.4.1.227
PA4414;6.3.2.9
PA4415;2.7.8.13
PA4416;6.3.2.10
PA4417;6.3.2.13
PA4425;5.3.1.28
PA4442;2.7.7.4
PA4442;2.7.1.25
PA4443;2.7.7.4
PA4448;1.1.1.23
PA4449;2.4.2.17
PA4450;2.5.1.7
PA4457;5.3.1.13
PA4458;3.1.3.45
PA4524;2.4.2.19
PA4529;2.7.1.24
PA4561;2.7.1.26
PA4561;2.7.7.2
PA4655;4.99.1.1
PA4655;4.99.1.9
PA4662;5.1.1.3
PA4666;1.2.1.70
PA4670;2.7.6.1
PA4693;2.7.8.8
PA4694;1.1.1.86
PA4695;2.2.1.6
PA4696;2.2.1.6
PA4729;2.1.2.11
PA4730;6.3.2.1
PA4732;5.3.1.9
PA4749;5.4.2.10
PA4750;2.5.1.15
PA4759;1.17.1.8
PA4854;2.1.2.3
PA4854;3.5.4.10
PA4855;6.3.4.13
PA4957;4.1.1.65
PA4988;2.4.99.12
PA4988;2.4.99.13
PA4988;2.4.99.14
PA4988;2.4.99.15
PA4996;2.7.1.167
PA4996;2.7.7.70
PA5034;4.1.1.37
PA5038;4.2.3.4
PA5039;2.7.1.71
PA5066;3.5.4.19
PA5067;3.6.1.31
PA5110;3.1.3.11
PA5141;5.3.1.16
PA5143;4.2.1.19
PA5161;4.2.1.46
PA5162;1.1.1.133
PA5163;2.7.7.24
PA5164;5.1.3.13
PA5175;3.1.3.7
PA5243;4.2.1.24
PA5259;4.2.1.75
PA5260;2.5.1.61
PA5277;4.1.1.20
PA5278;5.1.1.7
PA5320;4.1.1.36
PA5320;6.3.2.5
PA5336;2.7.4.8
PA5549;2.6.1.16
PA5552;2.7.7.23
PA5552;2.3.1.157
