,maximum,minimum
mnxr01c19,99999.0,-99999.0
mnxr01c2,99999.0,-99999.0
mnxr01c3,99999.0,-99999.0
mnxr02c2b,99999.0,-99999.0
mnxr03c2c19,99999.0,-99999.0
mnxr03c3c19,99999.0,-99999.0
mnxr100018c19c3,99999.0,-99999.0
mnxr100019c2b,99999.0,-99999.0
mnxr100019c2c19,99999.0,-99999.0
mnxr100024c3,99999.0,0.0
mnxr100030c19,99999.0,0.0
mnxr100030c3,99999.0,0.0
mnxr100031c2b,99999.0,-99999.0
mnxr100031c2c19,99999.0,-99999.0
mnxr100031c3c19,99999.0,-99999.0
mnxr100032c3c19,99999.0,0.0
mnxr100034c3c19,99999.0,-99999.0
mnxr100035c2b,99999.0,-99999.0
mnxr100035c2c19,99999.0,-99999.0
mnxr100042c3,99999.0,0.0
mnxr100060c3,99999.0,-99999.0
mnxr100061c2b,99999.0,0.0
mnxr100061c2c19,99999.0,0.0
mnxr100061c3c19,0.0,-99999.0
mnxr100066c3,99999.0,-99999.0
mnxr100074c3,99999.0,0.0
mnxr100086c3,99999.0,-99999.0
mnxr100088c3,99999.0,0.0
mnxr100094c3,99999.0,0.0
mnxr100096c2b,-0.0,0.0
mnxr100096c2c19,-0.0,0.0
mnxr100098c3,99999.0,-99999.0
mnxr100099c3,99999.0,-99999.0
mnxr100113c3,99999.0,-99999.0
mnxr100136c19,99999.0,0.0
mnxr100136c2,99999.0,0.0
mnxr100136c3,99999.0,-99999.0
mnxr100142c3,99999.0,-99999.0
mnxr100144c3,99999.0,-99998.912001
mnxr100145c3,99999.0,-99998.912001
mnxr100177c3c19,99999.0,0.0
mnxr100209c3c19,99999.0,-99999.0
mnxr100210c2b,99999.0,-99999.0
mnxr100210c2c19,99999.0,-99999.0
mnxr100212c3,99999.0,0.0
mnxr100219c3,99999.0,-99999.0
mnxr100234c3c19,99999.0,-99999.0
mnxr100235c2b,99999.0,-99999.0
mnxr100235c2c19,99999.0,-99999.0
mnxr100236c3c19,99999.0,0.0
mnxr100237c3c19,99999.0,-99999.0
mnxr100238c3c19,99999.0,-99999.0
mnxr100258c3c19,99999.0,0.0
mnxr100259c2b,99999.0,-99999.0
mnxr100259c2c19,99999.0,-99999.0
mnxr100260c3c19,99999.0,-99999.0
mnxr100276c3c19,99999.0,-99999.0
mnxr100277c3,0.0,-99999.0
mnxr100285c3c19,99999.0,-99999.0
mnxr100287c3,99999.0,0.0
mnxr100288c3,99999.0,-99999.0
mnxr100289c3,99999.0,0.0
mnxr100291c3,99999.0,-99999.0
mnxr100298c3c19,99999.0,-99999.0
mnxr100299c3c19,99999.0,0.0
mnxr100300c3c19,99999.0,-99999.0
mnxr100303c3,99999.0,0.0
mnxr100304c3,99999.0,-99999.0
mnxr100306c2b,99999.0,-99999.0
mnxr100306c2c19,99999.0,-99999.0
mnxr100307c3c19,99999.0,-99999.0
mnxr100308c2b,99999.0,-99999.0
mnxr100308c2c19,99999.0,-99999.0
mnxr100309c3c19,99999.0,-99999.0
mnxr100310c3,99999.0,-99999.0
mnxr100311c2b,99999.0,0.0
mnxr100311c2c19,99999.0,-0.0
mnxr100311c3c19,0.0,-99999.0
mnxr100313c3,99999.0,-99999.0
mnxr100314c3c19,99999.0,0.0
mnxr100315c3c19,99999.0,-99999.0
mnxr100317c2b,99999.0,-99999.0
mnxr100317c2c19,99999.0,-99999.0
mnxr100318c3c19,99999.0,0.0
mnxr100319c2b,0.0,-99999.0
mnxr100319c2c19,0.0,-99999.0
mnxr100320c3c19,99999.0,0.0
mnxr100321c3c19,99999.0,0.0
mnxr100324c3,99999.0,0.0
mnxr100325c3,99999.0,-99999.0
mnxr100326c3,99999.0,-99999.0
mnxr100328c3,99999.0,-99999.0
mnxr100329c3,99999.0,0.0
mnxr100330c3,99999.0,-99999.0
mnxr100331c3,99999.0,-99999.0
mnxr100332c3,99999.0,-99999.0
mnxr100336c3,99999.0,-99999.0
mnxr100338c3,99999.0,0.0
mnxr100339c3,99999.0,-99999.0
mnxr100340c3,99999.0,0.0
mnxr100341c3,99999.0,0.0
mnxr100343c2b,99999.0,-99999.0
mnxr100343c2c19,99999.0,-99999.0
mnxr100343c3c19,99999.0,-99999.0
mnxr100345c3,0.0,0.0
mnxr100346c2b,0.0,0.0
mnxr100346c2c19,0.0,0.0
mnxr100348c3,99999.0,-99999.0
mnxr100349c3,99999.0,0.0
mnxr100351c3c19,99999.0,-99999.0
mnxr100352c3,99999.0,0.0
mnxr100353c3,99999.0,0.0
mnxr100355c3,99999.0,-99999.0
mnxr100367c3c19,99999.0,-99999.0
mnxr100368c3c19,99999.0,-99999.0
mnxr100371c2b,99999.0,-99999.0
mnxr100371c2c19,99999.0,-99999.0
mnxr100371c3c19,99999.0,-99999.0
