,maximum,minimum
EX_cpd00001_e,1000.0,1000.0
EX_cpd00007_e,-307.923483,-389.945846
EX_cpd00009_e,-15.32911,-15.32911
EX_cpd00011_e,314.639293,151.623201
EX_cpd00013_e,-194.13114,-194.13114
EX_cpd00018_e,0.0,0.0
EX_cpd00020_e,0.0,0.0
EX_cpd00023_e,0.0,0.0
EX_cpd00024_e,0.0,0.0
EX_cpd00025_e,0.0,0.0
EX_cpd00027_e,-0.0,0.0
EX_cpd00029_e,238.330418,74.697145
EX_cpd00030_e,-1.7e-05,-1.7e-05
EX_cpd00033_e,0.0,0.0
EX_cpd00034_e,0.0,0.0
EX_cpd00035_e,0.0,0.0
EX_cpd00036_e,0.0,0.0
EX_cpd00039_e,0.0,0.0
EX_cpd00041_e,0.0,0.0
EX_cpd00042_e,0.0,0.0
EX_cpd00046_e,0.0,0.0
EX_cpd00047_e,1.591771,0.906014
EX_cpd00048_e,-3.694883,-3.694883
EX_cpd00051_e,0.0,0.0
EX_cpd00053_e,0.0,0.0
EX_cpd00054_e,0.0,0.0
EX_cpd00055_e,-0.0,0.0
EX_cpd00058_e,0.0,0.0
EX_cpd00059_e,0.0,0.0
EX_cpd00060_e,0.0,0.0
EX_cpd00061_e,0.0,0.0
EX_cpd00063_e,-1.7e-05,-1.7e-05
EX_cpd00064_e,0.0,0.0
EX_cpd00065_e,0.0,0.0
EX_cpd00066_e,0.0,0.0
EX_cpd00067_e,1000.0,186.633932
EX_cpd00069_e,0.0,0.0
EX_cpd00073_e,0.0,0.0
EX_cpd00075_e,0.0,0.0
EX_cpd00079_e,0.0,0.0
EX_cpd00080_e,0.0,0.0
EX_cpd00082_e,0.0,0.0
EX_cpd00084_e,0.0,0.0
EX_cpd00085_e,0.0,0.0
EX_cpd00089_e,0.0,0.0
EX_cpd00091_e,0.0,0.0
EX_cpd00092_e,0.0,0.0
EX_cpd00094_e,0.0,0.0
EX_cpd00095_e,0.0,0.0
EX_cpd00098_e,0.0,0.0
EX_cpd00099_e,-1.7e-05,-1.7e-05
EX_cpd00100_e,-362.763677,-526.122647
EX_cpd00105_e,-0.0,0.0
EX_cpd00106_e,-0.0,0.0
EX_cpd00107_e,-0.0,0.0
EX_cpd00111_e,0.0,0.0
EX_cpd00117_e,-0.0,0.0
EX_cpd00118_e,-0.0,0.0
EX_cpd00119_e,-0.0,0.0
EX_cpd00122_e,0.0,0.0
