,maximum,minimum
EX_cpd00001_e_b,972.229169,0.0
EX_cpd00001_e_f,1000.0,27.770831
EX_cpd00007_e_b,1000.0,9.713047
EX_cpd00007_e_f,990.286953,0.0
EX_cpd00009_e_b,1000.0,0.327262
EX_cpd00009_e_f,999.672738,0.0
EX_cpd00011_e_b,996.850554,0.0
EX_cpd00011_e_f,1000.0,3.149446
EX_cpd00013_e_b,1000.0,4.144516
EX_cpd00013_e_f,995.855484,0.0
EX_cpd00018_e,0.0,0.0
EX_cpd00020_e,8.005447,0.0
EX_cpd00023_e,2.668482,0.0
EX_cpd00024_e,1.391548,0.0
EX_cpd00025_e,0.0,0.0
EX_cpd00027_e,0.0,0.0
EX_cpd00029_e,12.526837,0.0
EX_cpd00030_e_b,1000.0,0.0
EX_cpd00030_e_f,1000.0,0.0
EX_cpd00033_e,4.388553,0.0
EX_cpd00034_e,0.0,0.0
EX_cpd00035_e,4.388553,0.0
EX_cpd00036_e,4.002723,0.0
EX_cpd00039_e,0.0,0.0
EX_cpd00041_e,3.814202,0.0
EX_cpd00042_e,0.889494,0.0
EX_cpd00046_e,-0.0,0.0
EX_cpd00047_e,1.312814,0.0
EX_cpd00048_e_b,1000.0,0.078882
EX_cpd00048_e_f,999.921118,0.0
EX_cpd00051_e,0.889494,0.0
EX_cpd00053_e,2.001362,0.0
EX_cpd00054_e,4.388553,0.0
EX_cpd00055_e,0.0,0.0
EX_cpd00058_e_b,1000.0,0.0
EX_cpd00058_e_f,1000.0,0.0
EX_cpd00059_e,0.0,0.0
EX_cpd00060_e,0.0,0.0
EX_cpd00061_e,-0.0,0.0
EX_cpd00063_e_b,1000.0,0.0
EX_cpd00063_e_f,1000.0,0.0
EX_cpd00064_e,2.001362,0.0
EX_cpd00065_e,0.889494,0.0
EX_cpd00066_e,1.264018,0.0
EX_cpd00067_e_b,1000.0,0.0
EX_cpd00067_e_f,1000.0,0.0
EX_cpd00069_e,1.264018,0.0
EX_cpd00073_e,0.463719,0.0
EX_cpd00075_e,-0.0,0.0
EX_cpd00079_e,0.0,0.0
EX_cpd00080_e,0.0,0.0
EX_cpd00082_e,0.0,0.0
EX_cpd00084_e,2.668482,0.0
EX_cpd00085_e,0.0,0.0
EX_cpd00089_e,0.0,0.0
EX_cpd00091_e,0.0,0.0
EX_cpd00092_e,1.601089,0.0
EX_cpd00094_e,2.001362,0.0
EX_cpd00095_e,0.0,0.0
EX_cpd00098_e,0.0,0.0
EX_cpd00099_e_b,1000.0,0.0
EX_cpd00099_e_f,1000.0,0.0
EX_cpd00100_e_b,1000.0,10.922814
EX_cpd00100_e_f,989.077186,0.0
EX_cpd00105_e,0.0,0.0
EX_cpd00106_e,4.002723,0.0
EX_cpd00107_e,2.668482,0.0
EX_cpd00111_e,0.0,0.0
EX_cpd00117_e,4.388553,0.0
EX_cpd00118_e,0.0,0.0
EX_cpd00119_e,0.0,0.0
EX_cpd00122_e,0.0,0.0
EX_cpd00126_e,-0.0,0.0
EX_cpd00128_e,0.877711,0.0
EX_cpd00129_e,2.001362,0.0
EX_cpd00130_e,0.0,0.0
EX_cpd00132_e,1.94949,0.0
EX_cpd00135_e,1.334241,0.0
EX_cpd00136_e,1.33816,0.0
EX_cpd00137_e,2.668482,0.0
EX_cpd00138_e,0.0,0.0
EX_cpd00141_e,0.0,0.0
EX_cpd00142_e,0.842353,0.0
EX_cpd00147_e,0.429457,0.0
