,maximum,minimum
DM_cpd11416_c0,7.191831,7.191831
DM_cpd15302_c0,0.0,0.0
EX_cpd00001_e0,1000.0,1000.0
EX_cpd00006_e0,-0.114201,-0.114201
EX_cpd00007_e0,-0.02128,-0.02128
EX_cpd00011_e0,7.836338,7.836338
EX_cpd00013_e0,-181.495709,-181.495709
EX_cpd00017_e0,-0.448395,-0.448395
EX_cpd00024_e0,-1.41622,-1.41622
EX_cpd00028_e0,-0.098399,-0.098399
EX_cpd00030_e0,-0.057101,-0.057101
EX_cpd00034_e0,-0.057101,-0.057101
EX_cpd00038_e0,-0.304953,-0.304953
EX_cpd00039_e0,-2.340952,-2.340952
EX_cpd00048_e0,-0.057101,-0.057101
EX_cpd00051_e0,-1.390884,-1.390884
EX_cpd00054_e0,-1.739466,-1.739466
EX_cpd00058_e0,-0.057101,-0.057101
EX_cpd00063_e0,-0.057101,-0.057101
EX_cpd00065_e0,-0.391923,-0.391923
EX_cpd00066_e0,-1.267119,-1.267119
EX_cpd00067_e0,-607.477073,-607.477073
EX_cpd00069_e0,-0.753697,-0.753697
EX_cpd00075_e0,-186.551356,-186.551356
EX_cpd00080_e0,-6.761786,-6.761786
EX_cpd00092_e0,0.044353,0.044353
EX_cpd00099_e0,-0.057101,-0.057101
EX_cpd00100_e0,0.0,0.0
EX_cpd00107_e0,-0.559235,-0.559235
EX_cpd00111_e0,-0.233352,-0.233352
EX_cpd00115_e0,-0.035278,-0.035278
EX_cpd00118_e0,-0.057101,-0.057101
EX_cpd00119_e0,-0.589358,-0.589358
EX_cpd00132_e0,-6.249702,-6.249702
EX_cpd00149_e0,-0.041298,-0.041298
EX_cpd00156_e0,-1.006808,-1.006808
EX_cpd00161_e0,-3.870782,-3.870782
EX_cpd00162_e0,-0.061757,-0.061757
EX_cpd00205_e0,-0.057101,-0.057101
EX_cpd00220_e0,-0.114201,-0.114201
EX_cpd00241_e0,-0.071185,-0.071185
EX_cpd00254_e0,-0.057101,-0.057101
EX_cpd00264_e0,-0.057101,-0.057101
EX_cpd00305_e0,-0.057101,-0.057101
EX_cpd00357_e0,-0.12211,-0.12211
EX_cpd00367_e0,-0.506406,-0.506406
EX_cpd00393_e0,-0.171302,-0.171302
EX_cpd00492_e0,-1.428775,-1.428775
EX_cpd00528_e0,188.010109,188.010109
EX_cpd00655_e0,-0.114201,-0.114201
EX_cpd01080_e0,-1.494921,-1.494921
EX_cpd01133_e0,-0.57828,-0.57828
EX_cpd03422_e0,-0.015802,-0.015802
EX_cpd10516_e0,-0.130004,-0.130004
EX_cpd11580_e0,-0.894083,-0.894083
EX_cpd11583_e0,-2.537609,-2.537609
EX_cpd11587_e0,-0.945307,-0.945307
EX_cpd11588_e0,-1.158088,-1.158088
EX_cpd11591_e0,-0.424966,-0.424966
EX_cpd11606_e0,-0.216185,-0.216185
bio1_biomass,7.191831,7.191831
rxn00001_c0,1000.0,3.928141
rxn00011_c0,-3.749079,-3.749079
rxn00020_c0,0.0,0.0
rxn00022_c0,0.0,0.0
rxn00056_c0,-0.018226,-0.018226
rxn00077_c0,-0.057101,-0.057101
rxn00086_c0,-0.233352,-0.233352
rxn00097_c0,997.606446,1.534587
rxn00100_c0,0.057101,0.057101
rxn00102_c0,-0.0,-1000.0
rxn00119_c0,0.644608,0.644608
rxn00121_c0,-0.057101,-0.057101
rxn00126_c0,-0.391294,-0.391294
rxn00132_c0,996.071859,0.0
rxn00138_c0,0.0,0.0
rxn00139_c0,-0.086987,-996.158846
rxn00145_c0,-192.38637,-192.38637
rxn00148_c0,-4.103239,-4.103239
rxn00157_c0,0.896953,0.896953
rxn00193_c0,0.012989,0.012989
rxn00213_c0,0.486255,0.486255
rxn00214_c0,-1.15656,-1.15656
rxn00222_c0,0.0,0.0
rxn00224_c0,-0.041298,-0.041298
rxn00225_c0,0.0,0.0
rxn00239_c0,-0.029887,-0.029887
rxn00248_c0,0.0,0.0
rxn00251_c0,4.116228,4.116228
rxn00260_c0,4.116228,4.116228
rxn00283_c0,1.545675,1.545675
rxn00292_c0,-1.428775,-1.428775
rxn00295_c0,0.389666,0.389666
rxn00297_c0,0.038967,0.038967
rxn00313_c0,-0.012989,-0.012989
rxn00342_c0,5.182965,5.182965
rxn00350_c0,0.409604,0.409604
rxn00355_c0,1.15656,1.15656
rxn00363_c0,1000.0,0.0
rxn00364_c0,0.0,0.0
rxn00365_c0,1000.0,-1000.0
rxn00367_c0,-0.681939,-0.681939
rxn00368_c0,-1.845803,-1.845803
rxn00369_c0,999.942899,-1000.0
rxn00392_c0,0.057101,0.057101
rxn00420_c0,0.0,0.0
rxn00423_c0,0.0,0.0
rxn00459_c0,0.0,0.0
rxn00461_c0,0.012989,0.012989
rxn00493_c0,0.0,-0.0
