,maximum,minimum
R26B1EB77,19444.25,0.0
R26E4280E,99999.0,-99999.0
R26F0C5C0,99991.67201,-99999.0
R2701C9B5,99999.0,0.0
R2717FADF,0.0,0.0
R271A3B29,99999.0,0.0
R275596E9,99999.0,0.0
R275A54F,99999.0,0.0
R276A6E5E,-0.00011,-99999.0
R277097A0,0.0,-99999.0
R2788B74A,0.0,0.0
R2789138B,99999.0,-99999.0
R279A24FB,83332.5,0.0
R27A5E88F,0.0,-99999.0
R27B533E9,99999.0,-99999.0
R27D4612A,0.0,0.0
R27D652D9,16666.5,-0.0
R27DD6C3E,99999.0,0.0
R27F05BF6,99999.0,-99999.0
R27F12DBA,99999.0,0.0
R28292572,99999.0,-99999.0
R28528F55,0.0,0.0
R28582DA9,99999.0,-99999.0
R28766662,99999.0,-99999.0
R288ABFC2,99999.0,0.0
R288C7600,99999.0,-99999.0
R28953304,99999.0,-99999.0
R2895F94E,99999.0,-99999.0
R28A33AE9,99999.0,-99999.0
R28A63043,99999.0,-99999.0
R28BF4A7E,99999.0,-99999.0
R28E3DBFA,0.0,0.0
R291B7F16,99999.0,-99999.0
R29337EA3,99999.0,0.0
R2953C330,99999.0,0.0
R29881A3B,99999.0,-99999.0
R29B8ED1E,99999.0,0.0
R29C93BFC,99999.0,0.0
R29CE564,99999.0,-99999.0
R29E43110,99998.99978,-0.0
R2A01CD6F,99999.0,0.0
R2A242E9B,99999.0,0.0
R2A514FF5,99999.0,0.0
R2A7A7F89,99999.0,0.0
R2AB6C85F,0.0,0.0
R2AB70AC3,99999.0,-99999.0
R2ABF1185,0.0,0.0
R2ADC80CD,-0.0,-99999.0
R2B0BDCD1,99999.0,-99999.0
R2B1983B3,99999.0,0.0
R2B387167,99999.0,-99999.0
R2B4476F9,0.0,0.0
R2B624ED8,99999.0,0.0
R2B745A10,0.0,0.0
R2B7C89E6,99999.0,0.0
R2B7E4037,99999.0,0.0
R2B98DD1C,99999.0,-99999.0
R2B9A409E,0.0,-99999.0
R2BA9A1B5,99999.0,-99999.0
R2BB2B69F,99999.0,0.0
R2BDCE5EB,0.0,-99999.0
R2BFD7C74,99999.0,0.0
R2C6DBAA4,99999.0,0.0
R2C8AC9F6,12499.875,0.0
R2C8CA8CB,99999.0,0.00011
R2CDF083D,99999.0,-99999.0
R2CE43DBF,99999.0,-99999.0
R2CEF0BFC,0.0,-99986.3827
R2D06F217,99999.0,0.0
R2D12CE73,99999.0,0.0
R2D431BE0,0.0,0.0
R2D816E14,99999.0,-99999.0
R2DA81553,99999.0,-99999.0
R2DBA7B31,-0.00011,-99999.0
R2DC4819E,0.0,0.0
R2DC8C6D8,16666.5,0.0
R2E176E4,99999.0,-99999.0
R2E36290,99999.0,0.0
R2E3B11BC,99999.0,0.0
R2E646885,0.0,-99999.0
R2E73F0DF,99999.0,0.00011
R2EA04D95,-0.00011,-0.00011
R2EBAF1F9,99999.0,0.0
R2ED1A900,99999.0,0.0
R2EE43E29,99999.0,0.0
R2F02905C,99995.94,0.0
R2F1780B8,0.0,-99999.0
R2F21D17B,99999.0,2.63
R2F645DB,99999.0,-99999.0
R2F872D58,99999.0,-99999.0
R2F89F81B,99999.0,-99999.0
R2FC64CE2,99999.0,0.0
R2FC932DD,99999.0,0.0
R2FD92936,0.0,-99999.0
R3018ED58,99999.0,0.0
R301F0560,99999.0,0.0
R304B9D24,99999.0,-99999.0
R30601BA8,0.0,0.0
R3095A9A8,0.0,-99999.0
R30B1E6C9,99999.0,-99999.0
R30D13037,99999.0,0.0
R30E3C3B8,0.0,0.0
R30EE89F1,99999.0,-99991.56
R3141C59B,0.0,0.0
R3165767A,0.0,0.0
R3194CA3D,99999.0,-99999.0
R319FC596,99999.0,-99999.0
R31AC9C98,99999.0,0.0
R31EA8724,99999.0,-99999.0
R32061F11,0.0,0.0
R32161A1,99999.0,-99999.0
R32579FEF,99999.0,-99999.0
R327C6E0,99999.0,-99999.0
R327F2FC6,0.0,0.0
R32820AD8,99999.0,0.0
R32886115,83332.5,0.0
R32A68C5A,99999.0,-99999.0
R32C2A906,0.0,0.0
R32EB8398,99999.0,-99999.0
R331DB9D1,99999.0,0.0
R333AC7E8,99999.0,0.0
R3399BA08,99999.0,0.0
R33AD4AE6,99999.0,-99999.0
R33E77D06,-0.00011,-0.00011
R34519322,99999.0,0.0
R34AC6158,99999.0,0.0
R34D3BC42,99999.0,0.0
