,maximum,minimum
EX_C3668,-0.0,0.0
EX_C9323,0.0,0.0
EX_EC0001,46.77742,46.77742
EX_EC0007,-22.326025,-22.326025
EX_EC0009,-0.785386,-0.785386
EX_EC0011,24.113784,24.113784
EX_EC0023,-0.0,0.0
EX_EC0024,-0.0,0.0
EX_EC0027,-10.0,-10.0
EX_EC0029,0.0,0.0
EX_EC0033,-0.0,0.0
EX_EC0035,-0.0,0.0
EX_EC0036,0.0,0.0
EX_EC0039,-0.0,0.0
EX_EC0041,0.0,0.0
EX_EC0048,-0.200783,-0.200783
EX_EC0050,-0.0,0.0
EX_EC0052,0.0,0.0
EX_EC0053,-0.0,0.0
EX_EC0058,-0.0,0.0
EX_EC0062,-0.0,0.0
EX_EC0063,-0.0,0.0
EX_EC0064,-0.0,0.0
EX_EC0065,8.141155,8.141155
EX_EC0067,-0.0,0.0
EX_EC0080,0.0,0.0
EX_EC0082,-0.0,0.0
EX_EC0083,-0.0,0.0
EX_EC0090,-0.0,0.0
EX_EC0096,0.0,0.0
EX_EC0098,-0.0,0.0
EX_EC0103,-0.0,0.0
EX_EC0104,0.0,0.0
EX_EC0105,0.0,0.0
EX_EC0115,-0.0,0.0
EX_EC0116,-0.0,0.0
EX_EC0117,-0.0,0.0
EX_EC0126,-0.0,0.0
EX_EC0127,0.0,0.0
EX_EC0129,0.0,0.0
EX_EC0136,0.0,0.0
EX_EC0148,0.0,0.0
EX_EC0151,0.0,0.0
EX_EC0154,0.0,0.0
EX_EC0156,-0.0,0.0
EX_EC0197,0.0,0.0
EX_EC0201,0.0,0.0
EX_EC0202,0.0,0.0
EX_EC0213,-0.0,0.0
EX_EC0214,-0.0,0.0
EX_EC0258,-0.0,0.0
EX_EC0262,0.0,0.0
EX_EC0275,-0.0,0.0
EX_EC0302,0.0,0.0
EX_EC0317,-0.0,0.0
EX_EC0359,-0.0,0.0
EX_EC0475,-0.0,0.0
EX_EC0530,0.0,0.0
EX_EC0539,0.0,0.0
EX_EC0599,-0.0,0.0
EX_EC0644,-0.0,0.0
EX_EC0645,0.0,0.0
EX_EC0954,0.0,0.0
EX_EC0957,-9.27716,-9.27716
EX_EC1683,-0.0,0.0
EX_EC9324,0.861512,0.861512
EX_EC9371,0.0,0.0
IR00001,3.045493,3.045493
IR00006,0.136907,0.136907
IR00009,0.0,0.0
IR00015,0.0,0.0
IR00019,0.0,0.0
IR00028,0.0,0.0
IR00048,9e-06,9e-06
IR00059,0.0,0.0
IR00064,0.0,0.0
IR00074,0.000457,0.000457
IR00090,0.0,0.0
IR00094,5.1e-05,5.1e-05
IR00095,-0.0,0.0
IR00114,9e-06,9e-06
IR00116,-0.0,0.0
IR00120,1.837913,1.837913
IR00122,-0.0,0.0
IR00123,0.002352,0.002352
IR00125,-0.0,0.0
IR00127,-0.0,0.0
IR00138,-0.0,0.0
IR00141,0.0,0.0
IR00144,0.0,0.0
IR00149,-0.0,0.0
IR00156,0.0,0.0
IR00158,0.140254,0.140254
IR00193,-0.0,0.0
IR00200,-0.0,0.0
IR00222,-0.0,0.0
IR00224,0.062029,0.062029
IR00235,0.0,0.0
IR00241,-0.0,0.0
IR00244,6.294596,0.0
IR00245,0.875813,0.875813
IR00246,0.002352,0.002352
IR00250,-0.0,0.0
IR00254,5.1e-05,5.1e-05
IR00255,999991.759115,0.0
IR00265,0.200783,0.200783
IR00267,0.0,0.0
IR00275,0.073254,0.073254
IR00279,-0.0,0.0
IR00283,0.200783,0.200783
IR00293,9e-06,9e-06
IR00296,-0.0,0.0
IR00307,-0.0,0.0
IR00309,-0.0,0.0
IR00314,0.130433,0.130433
IR00316,-0.0,0.0
IR00318,0.197286,0.197286
IR00322,1.325344,1.325344
IR00325,-0.0,0.0
IR00328,0.0,0.0
IR00329,-0.0,0.0
IR00335,0.0,0.0
IR00341,0.0,0.0
IR00344,6.294596,0.0
IR00374,0.180918,0.0
IR00388,0.0,0.0
IR00394,0.151626,0.0
IR00401,0.0,0.0
IR00406,-0.0,0.0
IR00411,-0.0,0.0
IR00414,-0.0,0.0
IR00434,0.0,0.0
IR00444,0.0,0.0
IR00450,0.0,0.0
IR00455,-0.0,0.0
IR00461,0.062029,0.062029
IR00491,0.0,0.0
IR00495,0.0,0.0
IR00496,0.0,0.0
IR00522,0.005557,0.005557
IR00523,-0.0,0.0
IR00544,0.0,0.0
IR00547,-0.0,0.0
IR00548,0.0,0.0
IR00552,-0.0,0.0
IR00555,-0.0,0.0
IR00556,-0.0,0.0
IR00559,0.0,0.0
IR00560,0.0,0.0
IR00589,-0.0,0.0
IR00597,-0.0,0.0
IR00599,0.125781,0.125781
IR00601,0.132673,0.132673
IR00614,0.0,0.0
IR00616,0.271462,0.271462
IR00623,0.0,0.0
IR00633,0.046522,0.046522
IR00642,0.237777,0.237777
IR00662,0.0,0.0
IR00676,-0.0,0.0
IR00679,0.0,0.0
IR00696,0.0,0.0
IR00700,0.0,0.0
IR00737,-0.0,0.0
IR00746,0.0,-0.0
IR00747,0.0,-0.0
IR00748,0.0,0.0
IR00764,-0.0,0.0
IR00776,5.1e-05,5.1e-05
IR00777,-0.0,0.0
IR00781,0.239854,0.239854
IR00791,-0.0,0.0
IR00799,-0.0,0.0
IR00806,0.0,0.0
IR00811,0.0,0.0
IR00819,0.0,0.0
IR00824,0.0,0.0
IR00832,-0.0,0.0
IR00840,0.0,0.0
IR00841,0.151626,0.0
IR00890,0.445402,0.445402
IR00894,0.0,0.0
IR00902,0.900985,0.0
IR00904,-0.0,0.0
IR00909,0.0,0.0
IR00916,-0.0,0.0
IR00917,-0.0,0.0
IR00935,0.0,0.0
IR00945,0.354081,0.354081
IR00946,0.264484,0.264484
IR00947,0.043076,0.043076
IR00955,0.112858,0.112858
IR00961,0.0,0.0
IR00962,10.0,0.0
IR00966,-0.0,0.0
IR00973,0.0,0.0
IR00984,0.239854,0.0
IR00986,0.445402,0.445402
IR00999,-0.0,0.0
IR01001,-0.0,0.0
IR01017,0.354081,0.354081
IR01037,0.0,0.0
IR01040,0.0,0.0
IR01046,0.271462,0.271462
IR01049,0.0,0.0
IR01079,0.0,0.0
IR01087,-0.0,0.0
IR01088,-0.0,0.0
IR01097,-0.0,0.0
IR01104,0.0,0.0
IR01114,-0.0,0.0
IR01115,8.58595,8.58595
IR01137,0.0,0.0
IR01157,-0.0,0.0
IR01158,0.021279,0.021279
IR01159,0.0,0.0
IR01181,-0.0,0.0
IR01215,-0.0,0.0
IR01238,0.043076,0.043076
IR01265,-0.0,0.0
IR01266,-0.0,0.0
IR01275,-0.0,0.0
IR01277,-0.0,0.0
IR01287,0.0,0.0
IR01289,-0.0,0.0
IR01347,-0.0,0.0
