,maximum,minimum
10FTHF5GLUtlam,-0.0,0.0
10FTHF5GLUtmam,-0.0,0.0
10FTHF6GLUtlam,-0.0,0.0
10FTHF6GLUtmam,-0.0,0.0
10FTHF7GLUtlam,-0.0,0.0
10FTHF7GLUtmam,-0.0,0.0
10FTHFtlam,0.0,-0.0
10FTHFtmam,-0.0,-0.0
13DAMPPOXam,0.0,0.0
1MNCAMtiam,-0.0,-0.0
1a_COMMA_24_COMMA_25VITD2Hmam,-0.0,0.0
1a_COMMA_24_COMMA_25VITD3Hmam,-0.0,0.0
1a_COMMA_25VITD2Hmam,0.0,0.0
1a_COMMA_25VITD3Hmam,-0.0,0.0
24NPHteam,0.0,0.0
24_COMMA_25DHVITD2tam,0.0,0.0
24_COMMA_25DHVITD2tmam,0.0,0.0
24_COMMA_25DHVITD3tam,-0.0,0.0
24_COMMA_25DHVITD3tmam,-0.0,0.0
24_COMMA_25VITD2Hmam,0.0,0.0
24_COMMA_25VITD3Hmam,-0.0,0.0
25HVITD2tam,1000.0,0.0
25HVITD2tin_DASH_mam,1000.0,0.0
25HVITD2tinam,1000.0,0.0
25HVITD2tmam,1000.0,0.0
25HVITD3tam,1000.0,0.0
25HVITD3tin_DASH_mam,1000.0,0.0
25HVITD3tinam,1000.0,0.0
25HVITD3tmam,1000.0,0.0
25VITD2Hmam,-0.0,0.0
25VITD3Hmam,-0.0,0.0
2AGPEAT160mt,-0.0,0.0
2AGPEAT180mt,-0.0,0.0
2DR1PPam,-0.0,0.0
2HBOam,-0.006329,-0.006329
2HBt2am,-0.006329,-0.006329
2HCO3_NAtam,1000.0,-1000.0
2MCITtam,-0.0,0.0
2OXOADOXmam,0.0,0.0
2OXOADPTmam,0.0,0.0
34DHPHAMTam,0.0,-0.0
34DHPLACOX_LSQBKT_NADP_RSQBKT_am,0.0,-1000.0
34DHPLACOXam,1000.0,0.0
34HPLFMam,0.0,0.0
35CGMPtnam,-0.0,0.0
3AIBTmam,-0.0,0.0
3AIBtam,-0.0,0.0
3AIBtmam,-0.0,0.0
3DPHBH1am,0.0,0.0
3DPHBH2am,0.0,0.0
3DSPHRam,0.000782,0.000782
3HAOam,0.0,0.0
3HBCDmam,0.0,0.0
3HBCOAHLmam,-0.0,0.0
3HCO3_NAtam,1000.0,-1000.0
3HLYTCLam,0.0,0.0
3HPCOAHYDam,0.0,0.0
3HXKYNDCLam,0.0,0.0
3HXKYNOXDAam,0.0,0.0
3M4HDXPACam,0.0,0.0
3MLDAtam,-0.0,0.0
3MOBt2imam,999.972239,0.0
3MOPt2imam,999.972239,0.0
3MOX4HOXPGALDOX_LSQBKT_NADP_RSQBKT_am,0.0,-1000.0
3MOX4HOXPGALDOXam,1000.0,0.0
3MOXTYROXam,0.0,0.0
3NTD7lam,0.0,0.0
3SALAASPmam,0.0,0.0
3SALATAiam,0.0,0.0
3SALATAimam,0.0,0.0
41R1H2MAE12BOOXam,0.0,0.0
41R2A1H12BOOXam,0.0,0.0
42A12BOOXam,0.0,0.0
4ABUTtmam,-0.0,0.0
4HBZCOAFmam,0.0,0.0
4HBZFmam,0.0,0.0
4HDEBRISOQUINEteam,0.0,0.0
4HGLSDmam,0.0,0.0
4HOXPACDOX_LSQBKT_NADP_RSQBKT_am,-0.0,0.0
4HTHRSmt,0.0,0.0
4MOPt2imam,999.972239,0.0
4MPTNLteam,0.0,0.0
4MPTNLtmam,0.0,0.0
4MPTNLtram,0.0,0.0
4NPHSFteam,0.0,0.0
4NPHSULTam,-0.0,0.0
4NPHteam,-0.0,0.0
4PYRDXam,-0.0,0.0
5ADTSTSTERONEGLCteam,0.0,0.0
5ADTSTSTERONEGLCtram,0.0,0.0
5ADTSTSTERONEteam,0.0,0.0
5ADTSTSTERONEtram,0.0,0.0
5DGLCNRmt,0.0,0.0
5DHFtlam,-0.0,0.0
5FTHFt2am,-0.0,0.0
5HLTDLam,-0.0,0.0
5HOXINDACTO2OXam,-0.0,0.0
5HOXINDACTOXam,0.0,0.0
5HOXINDACTOXmam,0.0,0.0
5HOXINOXDAam,0.0,0.0
5HTRPDOXam,0.0,0.0
5HTRPVESSECam,-0.0,0.0
5HXKYNDCLam,0.0,0.0
5HXKYNOXDAam,0.0,0.0
5MTHFt2am,-0.0,-1000.0
5MTHFtam,1000.0,0.0
5THFtlam,-0.0,0.0
5THFtmam,-0.0,0.0
6DHFtlam,-0.0,0.0
6DHFtmam,-0.0,0.0
6HTSTSTERONEteam,0.0,0.0
6THFtlam,-0.0,0.0
6THFtmam,-0.0,0.0
7DHCHSTEROLtram,-0.0,0.0
7DHFtlam,-0.0,0.0
7DHFtmam,-0.0,0.0
7THFtlam,-0.0,0.0
7THFtmam,-0.0,0.0
A4GALTcam,0.0,0.0
A4GALTgam,-0.0,0.0
AACOATam,-0.010314,-0.010314
AACPS10mt,0.000103,0.000103
AACPS11mt,1e-06,1e-06
AACPS3mt,0.000121,0.000121
ABO1gam,0.0,0.0
ABO2gam,-0.0,0.0
ABO3gam,-0.0,0.0
ABO4gam,0.0,0.0
ABO5gam,0.0,0.0
ABO6gam,0.0,0.0
ABO7gam,0.0,0.0
ABO8gam,-0.0,0.0
ABO9gam,0.0,0.0
ABTAmt,-0.0,0.0
ABTArmam,-0.0,0.0
ABTDam,0.0,0.0
ABTtiam,-0.0,0.0
ABUTDam,-0.0,0.0
ABUTt2rLam,0.0,0.0
ABUTt2ram,1000.0,-1000.0
ABUTt4_LSQBKT_2_RSQBKT_ram,1000.0,-1000.0
ACACCTmt,999.999992,0.0
ACACT10mam,0.0,0.0
ACACT1am,0.743713,0.0
ACACT1ram,0.010314,-0.7334
ACACT1rmam,0.072238,0.072238
ACACT1rmt,8e-06,8e-06
ACACT1xam,0.0,0.0
ACACT4pam,0.0,0.0
ACACT5pam,0.0,0.0
ACACT6pam,0.0,0.0
ACACT7pam,0.0,0.0
ACACT8pam,0.0,0.0
ACACT9pam,0.0,0.0
ACACt2am,0.0,0.0
ACACt2mam,0.010314,0.010314
ACACtxam,-0.0,0.0
ACALDimt,-0.0,0.0
ACALDtam,0.0,0.0
ACALDtmam,0.0,0.0
ACALDtram,0.0,0.0
ACALDtxam,0.0,0.0
ACBIPGTmt,0.0,0.0
ACCCmt,0.000102,0.000102
ACCOACam,-0.0,0.0
ACCOACmam,-0.0,0.0
ACCOACrmt,0.004413,0.004413
ACCOALam,0.0,0.0
ACCOALmam,0.0,0.0
ACCOAgtam,-0.0,0.0
ACCOAtnam,0.0,0.0
ACCOAtram,0.0,0.0
ACChexmt,0.000102,0.000102
ACETONEt2am,-0.079939,-0.079939
ACETONEt2mam,-0.079939,-0.079939
ACGAGBSIDEtgam,0.0,0.0
ACGAGBSIDEtlam,-0.0,-0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEteam,0.0,0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtgam,0.0,0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEteam,0.0,0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtgam,0.0,0.0
ACGALtlyam,0.0,0.0
ACGAM2Eam,-0.0,0.0
ACGAM6PSiam,-0.0,0.0
ACGAMKam,-0.0,0.0
ACGAMPMam,-0.0,0.0
ACGAMPMmt,0.0,-0.0
ACGAMTmt,-0.0,0.0
ACGAMtlyam,-0.0,0.0
ACGKmt,0.000815,0.00038
ACGPIDam,0.0,0.0
ACGSmt,-0.0,0.0
ACHBSmt,0.000277,0.000277
ACHEeam,0.0,0.0
ACHVESSECam,0.0,0.0
ACITLam,0.020627,0.020627
ACKrmt,999.968958,-0.053727
ACLSmt,0.001295,0.001295
ACN13ACNGALGBSIDEteam,0.0,0.0
ACN13ACNGALGBSIDEtgam,0.0,0.0
ACN23ACNGALGBSIDEteam,0.0,0.0
