,maximum,minimum
ATPM,8.39,8.39
EX_cJB00034_LPAREN_e_RPAREN_,0.0,0.0
EX_cJB00034_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cPY00016_LPAREN_e_RPAREN_,0.0,0.0
EX_cPY00016_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cPY00116_LPAREN_e_RPAREN_,0.0,0.0
EX_cPY00116_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00001_LPAREN_e_RPAREN_,48.62695,20.376447
EX_cpd00001_LPAREN_e_RPAREN__REV,10.0,0.0
EX_cpd00007_LPAREN_e_RPAREN_,9.909089,0.0
EX_cpd00007_LPAREN_e_RPAREN__REV,10.0,0.090911
EX_cpd00009_LPAREN_e_RPAREN_,10.43272,0.0
EX_cpd00009_LPAREN_e_RPAREN__REV,10.0,0.0
EX_cpd00011_LPAREN_e_RPAREN_,25.080632,0.159252
EX_cpd00011_LPAREN_e_RPAREN__REV,10.0,0.0
EX_cpd00012_LPAREN_e_RPAREN_,5.21636,0.0
EX_cpd00012_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00013_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00013_LPAREN_e_RPAREN__REV,10.0,10.0
EX_cpd00020_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00020_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00021_LPAREN_e_RPAREN_,9.999896,0.0
EX_cpd00021_LPAREN_e_RPAREN__REV,10.0,0.000104
EX_cpd00023_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00023_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00024_LPAREN_e_RPAREN_,3.374635,0.0
EX_cpd00024_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00027_LPAREN_e_RPAREN_,2.249757,0.0
EX_cpd00027_LPAREN_e_RPAREN__REV,10.0,7.750243
EX_cpd00029_LPAREN_e_RPAREN_,6.74927,0.0
EX_cpd00029_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00030_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00030_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00033_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00033_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00034_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00034_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00035_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00035_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00036_LPAREN_e_RPAREN_,3.856725,0.0
EX_cpd00036_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00039_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00039_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00041_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00041_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00048_LPAREN_e_RPAREN_,9.874171,0.0
EX_cpd00048_LPAREN_e_RPAREN__REV,10.0,0.125829
EX_cpd00051_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00051_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00053_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00053_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00054_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00054_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00058_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00058_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00060_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00060_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00063_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00063_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00064_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00064_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00065_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00065_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00066_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00066_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00067_LPAREN_e_RPAREN_,23.510073,0.0
EX_cpd00067_LPAREN_e_RPAREN__REV,10.0,0.0
EX_cpd00069_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00069_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00072_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00072_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00073_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00073_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00075_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00075_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00079_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00079_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00080_LPAREN_e_RPAREN_,3.856725,0.0
EX_cpd00080_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00082_LPAREN_e_RPAREN_,2.249757,0.0
EX_cpd00082_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00084_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00084_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00089_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00089_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00092_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00092_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00098_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00098_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00099_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00099_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00100_LPAREN_e_RPAREN_,3.856725,0.0
EX_cpd00100_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00105_LPAREN_e_RPAREN_,2.699708,0.0
EX_cpd00105_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00106_LPAREN_e_RPAREN_,4.499513,0.0
EX_cpd00106_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00107_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00107_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00108_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00108_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00117_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00117_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00118_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00118_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00119_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00119_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00121_LPAREN_e_RPAREN_,0.0,0.0
EX_cpd00121_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00122_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00122_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00129_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00129_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00130_LPAREN_e_RPAREN_,4.499513,0.0
EX_cpd00130_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00132_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00132_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00137_LPAREN_e_RPAREN_,2.999675,0.0
EX_cpd00137_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00139_LPAREN_e_RPAREN_,0.000104,0.000104
EX_cpd00139_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00141_LPAREN_e_RPAREN_,-0.0,0.0
EX_cpd00141_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00142_LPAREN_e_RPAREN_,3.205138,0.0
EX_cpd00142_LPAREN_e_RPAREN__REV,0.0,0.0
EX_cpd00147_LPAREN_c_RPAREN_,-0.0,0.0
