,minimum,maximum
rxn00161_REV,0.0,1000.0
rxn10062,0.0,1000.0
rxn10062_REV,0.0,1000.0
rxn13898,0.0,1000.0
rxn13898_REV,0.0,1000.0
rxn01740,0.0,999.706618
rxn01740_REV,0.293382,1000.0
rxn00962,0.0,4.57279
rAB00001,0.000104,1000.0
rAB00001_REV,0.0,999.999896
rxn00509,0.0,11.755036
rxn01101,0.0,1000.0
rxn01101_REV,0.0,1000.0
rxn00686,0.0,999.983194
rxn00686_REV,0.016806,1000.0
rxn00931,0.0,1000.0
rxn00931_REV,0.0,1000.0
rxn04954,0.0,999.912752
rxn04954_REV,0.087248,1000.0
rxn01802,0.0,1000.0
rxn01802_REV,0.0,1000.0
rxn01331,0.0,-0.0
rxn03951,0.0,1000.0
rxn03951_REV,0.0,1000.0
rxn02465,0.0,998.917973
rxn00183,0.0,998.917973
rxn13895,0.0,999.803403
rxn13895_REV,0.196597,1000.0
rxn01452,0.0,1000.0
rxn01452_REV,0.0,1000.0
rxn02270,0.0,0.0
rxn00508,0.0,11.755036
rxn00500,0.0,1000.0
rxn00500_REV,0.0,1000.0
rxn02939,0.0,1000.0
rxn02939_REV,0.0,1000.0
rxn13682,0.0,0.0
rxn01241,0.0,1000.0
rxn01241_REV,0.0,1000.0
rxn02933,0.0,1000.0
rxn02933_REV,0.0,1000.0
rxn00907,0.452704,1000.0
rxn00907_REV,0.0,999.547296
rxn00992,0.0,1000.0
rxn00992_REV,0.0,1000.0
rxn00086,0.0,1000.0
rxn00086_REV,0.0,1000.0
rxn01475,0.0,1000.0
rxn13834,0.0,0.0
rxn00629,0.0,1000.0
rxn00629_REV,0.0,1000.0
rxn00546,0.0,1000.0
rxn00546_REV,0.0,1000.0
rPY00216,0.0,0.0
rxn13925,0.0,1000.0
rxn13925_REV,0.0,1000.0
rxn02774,0.0,1000.0
rxn02774_REV,0.0,1000.0
rxn00198,0.0,0.0
rxn03492,0.0,1000.0
rxn03492_REV,0.0,1000.0
rxn02285,0.0,999.944684
rxn02285_REV,0.055316,1000.0
rxn00077,0.0,1000.0
rxn00077_REV,0.0,1000.0
rxn01268,0.098135,2.347891
rxn13705,0.0,1000.0
rxn13705_REV,0.0,1000.0
rxn09896,0.0,999.838603
rxn09896_REV,0.161397,1000.0
rxn01045,0.0,1000.0
rxn01045_REV,0.0,1000.0
rxn00935,0.0,41.15511
rxn00638,0.0,1000.0
rxn00638_REV,0.0,1000.0
rxn00763,0.0,1000.0
rxn00763_REV,0.0,1000.0
rxn03958,0.0,999.999067
rxn03958_REV,0.000933,1000.0
rxn13906,0.0,1000.0
rxn13906_REV,0.0,1000.0
rxn01302,0.0,999.590103
rxn01302_REV,0.409897,1000.0
rxn00834,0.238328,1000.0
rxn00834_REV,0.0,999.761672
rxn05293,0.000933,0.000933
rJB00279,0.0,1000.0
rJB00279_REV,0.0,1000.0
rxn00105,0.0,1000.0
rxn00105_REV,0.0,1000.0
rxn02373,1.082027,1000.0
rxn02474,0.0,1000.0
rxn02474_REV,0.0,1000.0
rxn03055,0.0,0.0
rxn09953,0.0,1000.0
rxn09953_REV,0.0,1000.0
rxn02112,0.0,1000.0
rxn02112_REV,0.0,1000.0
rxn02632,0.0,1000.0
rxn02632_REV,0.0,1000.0
rxn01686,0.0,1000.0
rxn01686_REV,0.0,1000.0
rxn13787,0.0,1000.0
rxn13787_REV,0.0,1000.0
rxn13896,0.0,1000.0
rxn13896_REV,0.0,1000.0
rxn01790,0.0,1000.0
rxn01790_REV,0.0,1000.0
rxn00859,0.083919,1000.0
rxn00859_REV,0.0,999.916081
rxn08352,0.000104,0.000104
rxn08756,0.000829,0.000829
rxn00122,0.0,-0.0
rxn00184,0.0,1000.0
rxn00184_REV,0.0,1000.0
rxn01011,0.0,1000.0
rxn01011_REV,0.0,1000.0
rxn06591,0.000829,1000.0
rxn06591_REV,0.0,999.999171
rxn02186,0.749085,1000.0
rxn02186_REV,0.0,999.250915
rxn08764,0.161397,1000.0
rxn08764_REV,0.0,999.838603
rxn02929,0.0,999.833755
rxn02929_REV,0.166245,1000.0
rxn00190,0.0,0.0
rxn00138,0.0,0.0
rxn08977,0.0,39.636355
rJB00265,0.0,39.636355
rxn02003,0.0,1000.0
rxn02003_REV,0.0,1000.0
rxn08291,0.0,41.15511
rxn13795,0.0,1000.0
rxn13795_REV,0.0,1000.0
rxn13788,0.0,1000.0
rxn13788_REV,0.0,1000.0
rxn00429,0.0,0.0
rxn02440,0.0,1000.0
rxn02440_REV,0.0,1000.0
rxn00868,0.0,3.027075
rxn01729,0.0,0.0
rxn05570,0.0,0.0
rxn05159,0.0,1000.0
rxn05180,0.0,1000.0
rxn10073,0.0,0.0
rxn08087,0.033599,0.033599
rxn08086,0.0,0.078879
rxn08089,0.107314,0.107314
rxn08088,0.0,0.003366
rxn08085,0.0,0.0
rxn08083,0.0,0.0
rxn08084,0.0,0.0
rxn10215,0.0,0.0
rxn10218,0.0,0.0
rxn10214,0.0,0.0
rxn10219,0.0,0.0
rxn10217,0.0,0.0
